filename                                                    CCSD(T)/CBS_(kcal/mol)
48_Pyridine-Pyridine_TS_2_y_-30.xyz                         -3.34
48_Pyridine-Pyridine_TS_2_y_+30.xyz                         -3.33
48_Pyridine-Pyridine_TS_2_z_-30.xyz                         -2.42
48_Pyridine-Pyridine_TS_2_z_+30.xyz                         -2.85
49_Benzene-Pyridine_TS_1_y_-30.xyz                          -2.37
49_Benzene-Pyridine_TS_1_y_+30.xyz                          -2.36
49_Benzene-Pyridine_TS_1_z_-30.xyz                          -2.39
49_Benzene-Pyridine_TS_1_z_+30.xyz                          -2.11
49_Benzene-Pyridine_TS_2_y_-30.xyz                          -3.25
49_Benzene-Pyridine_TS_2_y_+30.xyz                          -3.25
49_Benzene-Pyridine_TS_2_z_-30.xyz                          -3.17
49_Benzene-Pyridine_TS_2_z_+30.xyz                          -2.24
59_Ethyne-Water_CH-O_1_y_-30.xyz                            -2.44
59_Ethyne-Water_CH-O_1_y_+30.xyz                            -2.44
59_Ethyne-Water_CH-O_1_z_-30.xyz                            -2.48
59_Ethyne-Water_CH-O_1_z_+30.xyz                            -2.48
59_Ethyne-Water_CH-O_2_y_-30.xyz                            -2.78
59_Ethyne-Water_CH-O_2_y_+30.xyz                            -2.83
59_Ethyne-Water_CH-O_2_z_-30.xyz                            -2.40
59_Ethyne-Water_CH-O_2_z_+30.xyz                            -2.39
60_Ethyne-AcOH_OH-pi_1_y_-30.xyz                            -4.81
60_Ethyne-AcOH_OH-pi_1_y_+30.xyz                            -4.81
60_Ethyne-AcOH_OH-pi_1_z_-30.xyz                            -3.08
60_Ethyne-AcOH_OH-pi_1_z_+30.xyz                            -3.86
60_Ethyne-AcOH_OH-pi_2_y_-30.xyz                            -4.34
60_Ethyne-AcOH_OH-pi_2_y_+30.xyz                            -4.34
60_Ethyne-AcOH_OH-pi_2_z_-30.xyz                            -2.57
60_Ethyne-AcOH_OH-pi_2_z_+30.xyz                            -3.38
64_Peptide-Ethene_1_y_-30.xyz                               -2.17
64_Peptide-Ethene_1_y_+30.xyz                               -1.89
64_Peptide-Ethene_1_z_-30.xyz                               -1.32
64_Peptide-Ethene_1_z_+30.xyz                               -1.98
64_Peptide-Ethene_2_y_-30.xyz                               -1.99
64_Peptide-Ethene_2_y_+30.xyz                               -2.29
64_Peptide-Ethene_2_z_-30.xyz                               -2.49
64_Peptide-Ethene_2_z_+30.xyz                               -1.82
65_Pyridine-Ethyne_1_y_-30.xyz                              -3.67
65_Pyridine-Ethyne_1_y_+30.xyz                              -3.61
65_Pyridine-Ethyne_1_z_-30.xyz                              -3.51
65_Pyridine-Ethyne_1_z_+30.xyz                              -3.53
65_Pyridine-Ethyne_2_y_-30.xyz                              -3.37
65_Pyridine-Ethyne_2_y_+30.xyz                              -3.31
65_Pyridine-Ethyne_2_z_-30.xyz                              -3.42
65_Pyridine-Ethyne_2_z_+30.xyz                              -3.44
61_Pentane-AcOH_1_y_-30.xyz                                 -1.52
61_Pentane-AcOH_1_y_+30.xyz                                 -1.44
61_Pentane-AcOH_1_z_-30.xyz                                 -1.76
61_Pentane-AcOH_1_z_+30.xyz                                 -1.64
61_Pentane-AcOH_2_y_-30.xyz                                 -1.70
61_Pentane-AcOH_2_y_+30.xyz                                 -2.37
61_Pentane-AcOH_2_z_-30.xyz                                 -2.26
61_Pentane-AcOH_2_z_+30.xyz                                 -2.11
62_Pentane-AcNH2_1_y_-30.xyz                                -1.82
62_Pentane-AcNH2_1_y_+30.xyz                                -1.49
62_Pentane-AcNH2_1_z_-30.xyz                                -2.20
62_Pentane-AcNH2_1_z_+30.xyz                                -2.17
62_Pentane-AcNH2_2_y_-30.xyz                                -2.58
62_Pentane-AcNH2_2_y_+30.xyz                                -2.22
62_Pentane-AcNH2_2_z_-30.xyz                                -2.53
62_Pentane-AcNH2_2_z_+30.xyz                                -2.65
63_Benzene-AcOH_1_y_-30.xyz                                 -2.92
63_Benzene-AcOH_1_y_+30.xyz                                 -2.37
63_Benzene-AcOH_1_z_-30.xyz                                 -2.89
63_Benzene-AcOH_1_z_+30.xyz                                 -2.20
63_Benzene-AcOH_2_y_-30.xyz                                 -2.36
63_Benzene-AcOH_2_y_+30.xyz                                 -3.03
63_Benzene-AcOH_2_z_-30.xyz                                 -2.84
63_Benzene-AcOH_2_z_+30.xyz                                 -2.15
58_Pyridine-Pyridine_CH-N_1_y_-30.xyz                       -3.80
58_Pyridine-Pyridine_CH-N_1_y_+30.xyz                       -3.79
58_Pyridine-Pyridine_CH-N_1_z_-30.xyz                       -2.84
58_Pyridine-Pyridine_CH-N_1_z_+30.xyz                       -2.88
58_Pyridine-Pyridine_CH-N_2_y_-30.xyz                       -3.79
58_Pyridine-Pyridine_CH-N_2_y_+30.xyz                       -3.78
58_Pyridine-Pyridine_CH-N_2_z_-30.xyz                       -2.63
58_Pyridine-Pyridine_CH-N_2_z_+30.xyz                       -2.62
66_MeNH2-Pyridine_1_y_-30.xyz                               -3.26
66_MeNH2-Pyridine_1_y_+30.xyz                               -2.61
66_MeNH2-Pyridine_1_z_-30.xyz                               -3.46
66_MeNH2-Pyridine_1_z_+30.xyz                               -3.54
66_MeNH2-Pyridine_2_y_-30.xyz                               -3.90
66_MeNH2-Pyridine_2_y_+30.xyz                               -2.73
66_MeNH2-Pyridine_2_z_-30.xyz                               -2.56
66_MeNH2-Pyridine_2_z_+30.xyz                               -3.12
